###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## EVOLUTIVE NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
#
#Similarity IdClusterA IdClusterB LinkCode 
3.82481 Clus>1 Clus>446 1
4.97891 Clus>1 Clus>447 3
0.770760 Clus>6 Clus>139 1
0.860550 Clus>6 Clus>366 1
6.50021 Clus>10 Clus>81 3
5.19405 Clus>10 Clus>171 3
1.20598 Clus>12 Clus>42 1
1.94512 Clus>12 Clus>98 1
0.975500 Clus>12 Clus>109 1
1.12237 Clus>12 Clus>133 1
1.67033 Clus>12 Clus>191 1
1.62047 Clus>12 Clus>270 1
0.729650 Clus>12 Clus>663 1
1.22625 Clus>12 Clus>664 1
4.59310 Clus>12 Clus>665 1
2.53250 Clus>12 Clus>666 1
1.56855 Clus>12 Clus>667 1
1.28095 Clus>12 Clus>668 1
1.78555 Clus>12 Clus>669 1
5.82396 Clus>13 Clus>656 1
3.07257 Clus>14 Clus>329 3
3.96125 Clus>14 Clus>773 3
3.34835 Clus>14 Clus>774 3
1.38890 Clus>14 Clus>775 3
3.01856 Clus>16 Clus>682 1
1.58297 Clus>17 Clus>198 1
2.01620 Clus>17 Clus>301 1
4.78178 Clus>17 Clus>337 1
1.35428 Clus>17 Clus>358 1
1.37273 Clus>17 Clus>398 1
5.35337 Clus>17 Clus>401 1
1.08478 Clus>17 Clus>411 1
1.60400 Clus>17 Clus>674 1
3.11497 Clus>17 Clus>675 1
5.56506 Clus>23 Clus>127 3
2.75287 Clus>25 Clus>137 1
1.88403 Clus>26 Clus>72 1
1.05256 Clus>26 Clus>743 1
2.52837 Clus>26 Clus>744 1
1.30467 Clus>26 Clus>745 1
2.13745 Clus>30 Clus>34 2
2.81130 Clus>30 Clus>69 2
3.91591 Clus>30 Clus>259 3
3.17823 Clus>30 Clus>377 2
3.85021 Clus>34 Clus>69 3
4.89576 Clus>34 Clus>259 2
4.87958 Clus>34 Clus>377 3
3.18328 Clus>40 Clus>79 2
4.93980 Clus>40 Clus>333 2
3.84391 Clus>40 Clus>362 2
4.68957 Clus>40 Clus>661 3
1.44968 Clus>42 Clus>98 3
4.70477 Clus>42 Clus>109 3
5.49196 Clus>42 Clus>133 3
4.59029 Clus>42 Clus>191 3
3.52383 Clus>42 Clus>261 2
1.47536 Clus>42 Clus>270 3
4.29747 Clus>42 Clus>663 3
0.949867 Clus>42 Clus>664 3
1.80553 Clus>42 Clus>665 3
1.76260 Clus>42 Clus>666 3
1.14857 Clus>42 Clus>667 3
0.933433 Clus>42 Clus>668 1
0.991667 Clus>42 Clus>669 1
2.74304 Clus>51 Clus>61 1
2.30360 Clus>52 Clus>293 3
3.58621 Clus>53 Clus>440 3
5.80573 Clus>55 Clus>632 1
5.25904 Clus>56 Clus>102 1
1.53490 Clus>56 Clus>625 1
2.71568 Clus>56 Clus>626 1
3.76180 Clus>56 Clus>627 1
4.79003 Clus>59 Clus>64 3
1.41496 Clus>60 Clus>146 1
1.93434 Clus>60 Clus>344 1
6.65304 Clus>62 Clus>79 1
4.65420 Clus>65 Clus>464 3
6.46005 Clus>67 Clus>84 1
5.78896 Clus>69 Clus>259 2
3.63953 Clus>69 Clus>377 3
1.26445 Clus>72 Clus>743 1
1.54455 Clus>72 Clus>744 1
1.37015 Clus>72 Clus>745 1
4.60184 Clus>74 Clus>107 3
5.61097 Clus>75 Clus>116 3
5.35768 Clus>75 Clus>187 3
5.74446 Clus>75 Clus>366 1
3.67216 Clus>78 Clus>451 2
3.89611 Clus>78 Clus>456 2
5.36533 Clus>79 Clus>333 2
5.32188 Clus>79 Clus>362 2
1.11162 Clus>92 Clus>355 1
4.92512 Clus>95 Clus>304 3
6.24347 Clus>95 Clus>327 3
5.43000 Clus>95 Clus>538 3
2.50205 Clus>95 Clus>539 3
2.67260 Clus>98 Clus>109 3
2.11759 Clus>98 Clus>133 3
2.56862 Clus>98 Clus>191 3
1.59548 Clus>98 Clus>261 2
3.86216 Clus>98 Clus>270 3
5.94351 Clus>98 Clus>663 3
2.00445 Clus>98 Clus>664 3
5.23346 Clus>98 Clus>665 3
6.53030 Clus>98 Clus>666 3
3.76119 Clus>98 Clus>667 3
5.81270 Clus>98 Clus>668 1
2.34039 Clus>98 Clus>669 1
6.18477 Clus>99 Clus>141 1
6.70232 Clus>102 Clus>625 3
5.37182 Clus>102 Clus>626 3
2.78167 Clus>102 Clus>627 3
4.35363 Clus>105 Clus>370 3
3.00324 Clus>109 Clus>133 3
5.73263 Clus>109 Clus>191 3
1.53573 Clus>109 Clus>261 2
2.89154 Clus>109 Clus>270 3
3.76245 Clus>109 Clus>663 3
5.03265 Clus>109 Clus>664 3
4.40815 Clus>109 Clus>665 3
1.91785 Clus>109 Clus>666 3
1.66315 Clus>109 Clus>667 3
2.52470 Clus>109 Clus>668 1
1.07540 Clus>109 Clus>669 1
5.44014 Clus>114 Clus>267 3
5.86820 Clus>114 Clus>376 3
2.26277 Clus>114 Clus>515 3
4.67736 Clus>114 Clus>516 3
3.78771 Clus>114 Clus>517 3
5.43507 Clus>114 Clus>518 3
3.20595 Clus>116 Clus>187 3
4.13225 Clus>116 Clus>366 1
4.45553 Clus>118 Clus>145 1
4.65254 Clus>118 Clus>280 3
5.77304 Clus>118 Clus>303 1
5.70958 Clus>118 Clus>314 1
2.40058 Clus>120 Clus>231 3
4.11434 Clus>120 Clus>253 3
1.31075 Clus>120 Clus>778 1
6.67832 Clus>124 Clus>685 3
5.69131 Clus>128 Clus>135 3
6.16775 Clus>132 Clus>740 1
4.27423 Clus>133 Clus>191 3
5.02989 Clus>133 Clus>261 2
1.92457 Clus>133 Clus>270 3
1.75465 Clus>133 Clus>663 3
2.75082 Clus>133 Clus>664 3
