###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## REPRESENTANTS LIST ##
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
#
# Representative codes for each cluster (One domain corresponding to the most representative group of domains sharing the same codes)
#
#ClustId SCOPid CATHid SCOPfold CATHfold SCOPspf CATHspf SCOPfam CATHfam #elements 
Clus>1 1gxma_ 1gxmB00 48207 81853 81854 15010 1501020 15010201 17
Clus>2 1mt5a_ 1mt5A00 75303 75304 75305 3901300 390130010 3901300102 2
Clus>3 1o98a2 1o98A02 53648 53649 64162 340720 34072010 340720105 3
Clus>4 1qdla_ 1qdlA00 56321 56322 56323 360120 36012010 360120103 2
Clus>5 1tml__ 2bogX00 51988 51989 51990 32020 3202040 32020403 3
Clus>6 1lp3a_ 1lp3A00 88632 88645 88646 217030 21703010 217030102 2
Clus>7 1ic6a_ 1ic6A00 52742 52743 52744 34050 34050200 340502002 5
Clus>8 1utea_ 1uteA00 56299 56300 56301 36021 3602110 36021101 6
Clus>9 1lwda_ 1lwdA00 53658 53659 53660 340718 34071810 340718103 3
Clus>10 1nfp__ 1nfp000 51350 51679 51683 32020 3202030 32020306 126
Clus>11 1izoa_ 1izoA00 48263 48264 48265 110630 11063010 1106301013 11
Clus>12 1f9va_ 1f9vA00 52539 52540 52641 340850 34085010 340850101 2
Clus>13 1ofda1 1ofeB04 51125 69336 69337 216020 21602060 216020601 28
Clus>14 1qkia2 2bh9A02 55346 55347 55376 330360 33036010 3303601019 2
Clus>15 1kopa_ 1kopA00 51068 51069 51070 310200 31020010 310200103 3
Clus>16 2pth__ 2pth000 53162 53178 53179 34050 340501470 3405014701 8
Clus>17 1fiua_ 1knvA00 52979 52980 53008 34091 3409110 34091103 3
Clus>18 1hk8a_ 1hk8A00 51997 51998 52005 32070 3207020 32070203 2
Clus>19 1h54a2 1h54A01 49993 74650 63733 27098 2709840 27098401 12
Clus>20 3cla__ 3cla000 52776 52777 52778 330559 33055910 330559101 3
Clus>21 1kyha_ 1kyhA00 53612 53613 75292 3401190 340119020 3401190204 7
Clus>22 1jdw__ 1jdw000 55908 55909 55914 37510 3751010 37510102 4
Clus>23 3tgl__ 3tgl000 53473 53474 53558 34050 340501820 34050182036 2
Clus>24 1g5ca_ 1g5cA00 53040 53056 53057 3401050 340105010 3401050104 4
Clus>25 1nm2a1 1nm2A02 52150 52151 52152 340366 34036610 340366102 2
Clus>26 1qmya_ 1qmyA00 54000 54001 54037 39070 3907010 390701010 7
Clus>27 1qh5a_ 1qh5A00 56280 56281 56288 36015 3601510 36015103 8
Clus>28 1kypa_ 2awkA00 54510 54511 54512 240155 24015510 240155101 2
Clus>29 1i9za_ 1i9zA00 56218 56219 64422 36010 3601010 36010107 7
Clus>30 1iq0a2 1iq0A01 52373 52374 52375 34050 34050620 3405062046 4
Clus>31 1nox__ 1nox000 55468 55469 55470 340109 34010910 340109103 3
Clus>32 1lv2a_ 1pzlA00 48507 48508 48509 110565 11056510 1105651014 8
Clus>33 1m2tb1 1m2tB01 50352 50370 50371 28010 2801050 280105012 19
Clus>34 1sur__ 1sur000 52373 52402 52410 34050 34050620 3405062013 7
Clus>35 1nw9b_ 1nw9B00 52128 52129 52130 34050 340501460 3405014606 2
Clus>36 1jtdb_ 1jtdB00 50964 50985 69315 213010 21301030 213010302 44
Clus>37 1qaza_ 1qazA00 48207 48230 48231 15010 15010110 150101101 5
Clus>38 1ltza_ 1ltzA00 56533 56534 56535 110800 11080010 110800102 2
