###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## SIMILARITY NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=0 No hierarchical relation found for SCOP neither CATH
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
# Link=4 There is a fold relation for any of both expert classifications.
#
#	
#Similarity IdClusterA IdClusterB LinkCode.
5.48942 Clus>1 Clus>37 4
4.97891 Clus>1 Clus>447 3
6.60599 Clus>5 Clus>10 4
5.65130 Clus>5 Clus>73 4
5.56753 Clus>5 Clus>81 4
4.92897 Clus>5 Clus>195 0
4.72160 Clus>5 Clus>370 0
4.40831 Clus>7 Clus>35 4
4.42431 Clus>7 Clus>54 4
5.16628 Clus>7 Clus>63 0
4.02691 Clus>7 Clus>166 4
4.20171 Clus>7 Clus>342 4
4.30494 Clus>8 Clus>29 0
4.08170 Clus>9 Clus>670 0
6.60575 Clus>10 Clus>73 4
6.50021 Clus>10 Clus>81 3
5.19405 Clus>10 Clus>171 3
4.01840 Clus>10 Clus>343 4
4.83875 Clus>12 Clus>190 0
4.81497 Clus>12 Clus>386 0
4.17295 Clus>12 Clus>613 0
4.68295 Clus>12 Clus>617 0
4.19565 Clus>12 Clus>655 0
4.59310 Clus>12 Clus>665 1
6.17950 Clus>12 Clus>673 0
4.45350 Clus>12 Clus>720 0
4.79150 Clus>12 Clus>762 0
6.31435 Clus>12 Clus>775 0
4.65748 Clus>13 Clus>648 4
5.82396 Clus>13 Clus>656 1
4.30076 Clus>14 Clus>315 0
4.44852 Clus>14 Clus>347 0
4.11720 Clus>14 Clus>610 0
4.54213 Clus>15 Clus>412 0
4.09710 Clus>15 Clus>774 0
4.70924 Clus>16 Clus>47 4
4.54035 Clus>16 Clus>133 4
4.14951 Clus>17 Clus>54 4
4.04260 Clus>17 Clus>105 4
4.78178 Clus>17 Clus>337 1
5.35337 Clus>17 Clus>401 1
4.50158 Clus>20 Clus>276 0
4.85230 Clus>20 Clus>572 0
5.16880 Clus>20 Clus>613 0
4.06593 Clus>20 Clus>710 0
4.22493 Clus>20 Clus>728 0
4.53373 Clus>20 Clus>737 0
4.61931 Clus>21 Clus>39 0
5.60146 Clus>21 Clus>63 4
4.68975 Clus>21 Clus>82 0
4.54116 Clus>21 Clus>115 0
4.44634 Clus>21 Clus>179 0
4.00770 Clus>21 Clus>207 0
4.51454 Clus>21 Clus>333 0
4.09510 Clus>21 Clus>370 0
5.56506 Clus>23 Clus>127 3
4.73100 Clus>23 Clus>195 0
5.68808 Clus>23 Clus>370 4
4.60490 Clus>23 Clus>384 0
4.28480 Clus>23 Clus>682 4
4.52135 Clus>23 Clus>686 0
5.74150 Clus>23 Clus>743 0
